Matricola;Nome;Sesso;Matematica Pre;Italiano Pre;Scienze Pre;Storia Pre;Geografia Pre;Matematica Post;Italiano Post;Scienze Post;Storia Post;Geografia Post
1;Alessio;M;5,8;5,6;6,6;4,3;6,8;7,9;6,0;8,6;8,0;8,9
2;Martina;F;4,7;5,6;8,0;4,4;5,2;7,9;7,0;9,1;7,7;8,9
3;Luca;M;4,2;5,3;6,6;5,6;6,9;9,2;7,7;8,9;7,8;9,1
4;Giulia;F;4,3;5,8;7,3;5,1;6,4;9,2;7,9;9,0;7,8;9,4
5;Matteo;M;4,9;5,2;6,7;4,4;6,0;9,2;7,5;7,8;7,9;8,0
6;Sofia;F;4,3;6,1;7,4;4,2;6,6;8,7;6,3;8,7;8,4;8,4
7;Lorenzo;M;4,9;5,9;6,2;5,1;5,2;8,2;7,0;8,5;8,2;8,2
8;Chiara;F;5,6;5,8;6,4;5,9;5,5;8,1;6,7;8,1;8,1;7,6
9;Davide;M;5,4;5,8;7,7;4,8;6,3;8,9;7,6;9,5;7,6;8,0
10;Elena;F;4,5;5,4;6,2;4,8;5,9;8,4;6,9;8,3;9,1;8,6
11;Francesco;M;4,1;6,8;6,8;5,6;5,3;8,2;7,3;9,2;8,0;7,6
12;Laura;F;4,2;6,7;6,4;4,9;6,3;8,8;7,8;8,8;9,4;7,5
13;Andrea;M;5,3;5,4;6,2;5,0;6,5;9,5;7,7;8,7;8,5;8,3
14;Greta;F;5,1;5,2;6,8;4,7;6,8;8,0;7,4;8,1;8,4;8,0
15;Riccardo;M;5,4;6,4;7,2;5,8;6,1;8,8;7,0;9,1;7,7;8,0
16;Alice;F;4,2;5,0;6,1;5,4;6,2;9,0;6,7;8,2;7,7;8,1
17;Marco;M;5,4;5,9;6,8;5,2;5,7;8,6;7,5;9,1;9,2;7,6
18;Valeria;F;5,7;6,1;6,2;6,0;6,9;9,5;6,4;9,5;7,5;9,4
19;Pietro;M;4,4;5,4;6,1;5,9;5,0;8,1;6,7;8,7;9,0;8,8
20;Anna;F;5,7;6,2;6,4;5,2;6,1;9,1;7,0;7,5;9,4;9,1
