Matricola;Nome;Sesso;Matematica Pre;Italiano Pre;Scienze Pre;Storia Pre;Geografia Pre;Matematica Post;Italiano Post;Scienze Post;Storia Post;Geografia Post
1;Alessio;M;5;5;5;7;6;8;9;9;8;9
2;Martina;F;6;7;6;6;5;8;9;8;9;8
3;Luca;M;6;6;7;7;5;8;8;9;8;8
4;Giulia;F;6;7;6;6;5;8;8;8;8;8
5;Matteo;M;5;6;6;6;6;8;8;9;8;9
6;Sofia;F;5;6;5;7;5;8;9;8;9;9
7;Lorenzo;M;6;6;7;7;6;8;8;8;8;8
8;Chiara;F;6;6;6;5;6;8;8;8;8;8
9;Davide;M;6;6;7;7;6;9;9;9;8;8
10;Elena;F;5;6;6;7;7;9;8;8;9;8
11;Francesco;M;5;6;5;5;7;9;8;9;9;9
12;Laura;F;6;6;6;6;5;8;9;9;9;9
13;Andrea;M;6;5;6;6;7;8;8;8;9;9
14;Greta;F;6;6;5;6;7;8;9;8;8;8
15;Riccardo;M;6;6;6;6;5;8;9;9;8;8
16;Alice;F;7;6;7;6;7;8;9;8;9;8
17;Marco;M;7;6;6;6;5;9;8;9;8;8
18;Valeria;F;6;6;6;6;6;9;8;8;9;8
19;Pietro;M;5;6;6;6;5;8;9;8;8;9
20;Anna;F;6;6;7;6;6;9;9;8;8;8
