Matricola;Nome;Sesso;Matematica Pre;Italiano Pre;Scienze Pre;Storia Pre;Geografia Pre;Matematica Post;Italiano Post;Scienze Post;Storia Post;Geografia Post
1;Alessio;M;6;7;7;7;5;8;9;8;8;8
2;Martina;F;6;6;6;7;7;9;8;8;8;9
3;Luca;M;7;6;7;6;6;8;8;9;9;9
4;Giulia;F;6;5;5;5;6;9;9;8;9;8
5;Matteo;M;7;6;6;5;7;8;9;9;8;9
6;Sofia;F;6;7;5;6;6;9;8;8;8;9
7;Lorenzo;M;5;6;5;6;7;8;8;9;9;8
8;Chiara;F;7;6;6;5;5;8;9;9;8;8
9;Davide;M;5;6;5;5;6;9;9;8;8;9
10;Elena;F;6;5;6;5;6;9;8;9;8;8
11;Francesco;M;6;6;5;5;5;9;8;9;8;9
12;Laura;F;7;6;5;6;5;8;9;9;8;8
13;Andrea;M;5;6;6;5;5;9;9;8;8;9
14;Greta;F;5;6;6;7;6;9;8;8;8;8
15;Riccardo;M;6;6;6;7;6;8;8;8;8;8
16;Alice;F;5;7;7;7;5;8;8;9;8;9
17;Marco;M;7;7;5;6;7;9;9;8;9;9
18;Valeria;F;5;5;7;7;6;9;8;9;8;8
19;Pietro;M;6;7;7;6;6;8;9;9;9;8
20;Anna;F;7;6;6;6;6;9;8;9;9;8
;;;;;;;;;;;;
